Time,Node,Node State Changes,Idle Time,Resource Requests
326,Node_2,162,0,0
327,Node_0,108,0,0
327,Node_1,65,0,0
327,Node_2,163,0,0
328,Node_0,109,0,0
328,Node_1,65,0,0
328,Node_2,163,0,0
329,Node_0,109,0,0
329,Node_1,65,0,0
329,Node_2,164,0,0
330,Node_0,109,0,0
330,Node_1,65,0,0
330,Node_2,164,0,0
331,Node_0,110,0,0
331,Node_1,66,0,0
331,Node_2,165,0,0
332,Node_0,110,0,0
332,Node_1,66,0,0
332,Node_2,165,0,0
333,Node_0,110,0,0
333,Node_1,66,0,0
333,Node_2,166,0,0
334,Node_0,111,0,0
334,Node_1,66,0,0
334,Node_2,166,0,0
335,Node_0,111,0,0
335,Node_1,66,0,0
335,Node_2,167,0,0
336,Node_0,111,0,0
336,Node_1,67,0,0
336,Node_2,167,0,0
337,Node_0,112,0,0
337,Node_1,67,0,0
337,Node_2,168,0,0
338,Node_0,112,0,0
338,Node_1,67,0,0
338,Node_2,168,0,0
339,Node_0,112,0,0
339,Node_1,67,0,0
339,Node_2,169,0,0
340,Node_0,113,0,0
340,Node_1,67,0,0
340,Node_2,169,0,0
341,Node_0,113,0,0
341,Node_1,68,0,0
341,Node_2,170,0,0
342,Node_0,113,0,0
342,Node_1,68,0,0
342,Node_2,170,0,0
343,Node_0,114,0,0
343,Node_1,68,0,0
343,Node_2,171,0,0
344,Node_0,114,0,0
344,Node_1,68,0,0
344,Node_2,171,0,0
345,Node_0,114,0,0
345,Node_1,68,0,0
345,Node_2,172,0,0
346,Node_0,115,0,0
346,Node_1,69,0,0
346,Node_2,172,0,0
347,Node_0,115,0,0
347,Node_1,69,0,0
347,Node_2,173,0,0
348,Node_0,115,0,0
348,Node_1,69,0,0
348,Node_2,173,0,0
349,Node_0,116,0,0
349,Node_1,69,0,0
349,Node_2,174,0,0
350,Node_0,116,0,0
350,Node_1,69,0,0
350,Node_2,174,0,0
351,Node_0,116,0,0
351,Node_1,70,0,0
351,Node_2,175,0,0
352,Node_0,117,0,0
352,Node_1,70,0,0
352,Node_2,175,0,0
353,Node_0,117,0,0
353,Node_1,70,0,0
353,Node_2,176,0,0
354,Node_0,117,0,0
354,Node_1,70,0,0
354,Node_2,176,0,0
355,Node_0,118,0,0
355,Node_1,70,0,0
355,Node_2,177,0,0
356,Node_0,118,0,0
356,Node_1,71,0,0
356,Node_2,177,0,0
